BGC Subzone,BEU_#,Name,Script rule,Change to BEU =
ESSFwcp,BR,Brush - specific to NSR sites and NCBR in VRI,Error,AS
ESSFwcw,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFwk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFwv,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFwvp,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
ESSFxv,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBPSdc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBPSmc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBPSmk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSdh,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSdk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSdw,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSmc,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSmh,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSmk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSmw,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSvk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBSwk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SWBmk,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SWBmks,BR,Brush - specific to NSR sites and NCBR in VRI,Allowed,
SBPSdc,BS,Bunchgrass Grassland,Allowed,
SBPSmc,BS,Bunchgrass Grassland,Allowed,
SBPSmk,BS,Bunchgrass Grassland,Allowed,
SBSdk,BS,Bunchgrass Grassland,Allowed,
SBSdw,BS,Bunchgrass Grassland,Error,MS
SBSmc,BS,Bunchgrass Grassland,Error,MS
CMAunp,CB,Cedars - Shore Pine Bog,Error,HP
CWHvh,CB,Cedars - Shore Pine Bog,Allowed,
CWHvm,CB,Cedars - Shore Pine Bog,Allowed,
MHmm,CB,Cedars - Shore Pine Bog,Error,YB
MHmmp,CB,Cedars - Shore Pine Bog,Error,YB
MHwh1,CB,Cedars - Shore Pine Bog,Error,YB
MHwhp,CB,Cedars - Shore Pine Bog,Error,YB
BAFAun,CF,Cultivated Field,Error,AT
BAFAunp,CF,Cultivated Field,Error,AT
BWBSdk,CF,Cultivated Field,Allowed,
BWBSmk,CF,Cultivated Field,Allowed,
BWBSmw,CF,Cultivated Field,Allowed,
BWBSwk,CF,Cultivated Field,Allowed,
ESSFmc,CF,Cultivated Field,Allowed,
ESSFmcp,CF,Cultivated Field,Error,SU
ESSFmm,CF,Cultivated Field,Allowed,
ESSFmmp,CF,Cultivated Field,Error,SU
ESSFmv,CF,Cultivated Field,Allowed,
ESSFmvp,CF,Cultivated Field,Error,SU
ESSFvc,CF,Cultivated Field,Allowed,
ESSFwc,CF,Cultivated Field,Allowed,
ESSFwcp,CF,Cultivated Field,Error,SU
ESSFwcw,CF,Cultivated Field,Allowed,
ESSFwk,CF,Cultivated Field,Allowed,
ESSFwv,CF,Cultivated Field,Allowed,
ESSFwvp,CF,Cultivated Field,Error,SU
ESSFxv,CF,Cultivated Field,Allowed,
ICHmm,CF,Cultivated Field,Allowed,
ICHvk,CF,Cultivated Field,Allowed,
ICHwk,CF,Cultivated Field,Allowed,
IMAun,CF,Cultivated Field,Error,AT
SBPSdc,CF,Cultivated Field,Allowed,
SBPSmc,CF,Cultivated Field,Allowed,
SBPSmk,CF,Cultivated Field,Allowed,
SBSdh,CF,Cultivated Field,Allowed,
SBSdk,CF,Cultivated Field,Allowed,
SBSdw,CF,Cultivated Field,Allowed,
SBSmc,CF,Cultivated Field,Allowed,
SBSmh,CF,Cultivated Field,Allowed,
SBSmk,CF,Cultivated Field,Allowed,
SBSmw,CF,Cultivated Field,Allowed,
SBSvk,CF,Cultivated Field,Allowed,
SBSwk,CF,Cultivated Field,Allowed,
SWBmk,CF,Cultivated Field,Allowed,
SWBmks,CF,Cultivated Field,Allowed,
CMAunp,CH,Coastal Western Hemlock - Western Redcedar,Error,HP
CWHvh,CH,Coastal Western Hemlock - Western Redcedar,Allowed,
CWHvm,CH,Coastal Western Hemlock - Western Redcedar,Allowed,
CWHwm,CH,Coastal Western Hemlock - Western Redcedar,Allowed,
CWHws,CH,Coastal Western Hemlock - Western Redcedar,Allowed,
MHmm,CH,Coastal Western Hemlock - Western Redcedar,Error,YM
MHmmp,CH,Coastal Western Hemlock - Western Redcedar,Error,YM
MHwh1,CH,Coastal Western Hemlock - Western Redcedar,Error,YM
MHwhp,CH,Coastal Western Hemlock - Western Redcedar,Error,YM
BAFAun,CL,Cliff,Allowed,
BAFAunp,CL,Cliff,Allowed,
BWBSdk,CL,Cliff,Allowed,
BWBSmk,CL,Cliff,Allowed,
BWBSmw,CL,Cliff,Allowed,
BWBSwk,CL,Cliff,Allowed,
CMAun,CL,Cliff,Allowed,
CMAunp,CL,Cliff,Allowed,
CWHvh,CL,Cliff,Allowed,
CWHvm,CL,Cliff,Allowed,
CWHwm,CL,Cliff,Allowed,
CWHws,CL,Cliff,Allowed,
ESSFmc,CL,Cliff,Allowed,
ESSFmcp,CL,Cliff,Allowed,
ESSFmk,CL,Cliff,Allowed,
ESSFmkp,CL,Cliff,Allowed,
ESSFmm,CL,Cliff,Allowed,
ESSFmmp,CL,Cliff,Allowed,
ESSFmv,CL,Cliff,Allowed,
ESSFmvp,CL,Cliff,Allowed,
ESSFun,CL,Cliff,Allowed,
ESSFvc,CL,Cliff,Allowed,
ESSFwc,CL,Cliff,Allowed,
ESSFwcp,CL,Cliff,Allowed,
ESSFwcw,CL,Cliff,Allowed,
ESSFwk,CL,Cliff,Allowed,
ESSFwv,CL,Cliff,Allowed,
ESSFwvp,CL,Cliff,Allowed,
ESSFxv,CL,Cliff,Allowed,
ICHmc,CL,Cliff,Allowed,
ICHmm,CL,,Allowed,
ICHvc,CL,Cliff,Allowed,
ICHvk,CL,,Allowed,
ICHwk,CL,,Allowed,
IMAun,CL,Cliff,Allowed,
MHmm,CL,Cliff,Allowed,
MHmmp,CL,Cliff,Allowed,
MHwh1,CL,Cliff,Allowed,
MHwhp,CL,Cliff,Allowed,
SBPSdc,CL,Cliff,Allowed,
SBPSmc,CL,Cliff,Allowed,
SBPSmk,CL,Cliff,Allowed,
SBSdh,CL,Cliff,Allowed,
SBSdk,CL,Cliff,Allowed,
SBSdw,CL,Cliff,Allowed,
SBSmc,CL,Cliff,Allowed,
SBSmh,CL,Cliff,Allowed,
SBSmk,CL,Cliff,Allowed,
SBSmw,CL,Cliff,Allowed,
SBSvk,CL,Cliff,Allowed,
SBSwk,CL,Cliff,Allowed,
SWBmk,CL,Cliff,Allowed,
SWBmks,CL,Cliff,Allowed,
CWHws,CS,Coastal Western Hemlock–Subalpine Fir,Error,CW
ESSFmc,CS,–Subalpine Fir,Error,EW
ESSFmm,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFmv,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFun,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFvc,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFwc,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFwcw,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFwk,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFwv,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ESSFwvp,CS,Coastal Western Hemlock - Douglas-fir,Error,FP
ESSFxv,CS,Coastal Western Hemlock - Douglas-fir,Error,EW
ICHmc,CS,Coastal Western Hemlock - Douglas-fir,Allowed,
ICHvc,CS,Coastal Western Hemlock - Douglas-fir,Allowed,
MHmm,CS,Coastal Western Hemlock - Douglas-fir,Error,HP
SBSdk,CS,Coastal Western Hemlock - Douglas-fir,Error,SF
SBSmc,CS,Coastal Western Hemlock - Douglas-fir,Error,SF
CWHws,CW,Coastal Western Hemlock - Douglas Fir,Allowed,
BAFAun,DF,Interior Douglas-fir,Error,AT
BAFAunp,DF,Interior Douglas-fir,Error,AT
BWBSdk,DF,Interior Douglas-fir,Error,LP
BWBSmk,DF,Interior Douglas-fir,Error,LP
BWBSmw,DF,Interior Douglas-fir,Error,LP
BWBSwk,DF,Interior Douglas-fir,Error,LP
ESSFmc,DF,Interior Douglas-fir,Error,LP
ESSFmcp,DF,Interior Douglas-fir,Error,EF
ESSFmk,DF,Interior Douglas-fir,Error,EF
ESSFmm,DF,Interior Douglas-fir,Error,LP
ESSFmmp,DF,Interior Douglas-fir,Error,EF
ESSFmv,DF,Interior Douglas-fir,Error,LP
ESSFmvp,DF,Interior Douglas-fir,Error,EF
ESSFvc,DF,Interior Douglas-fir,Error,LP
ESSFwc,DF,Interior Douglas-fir,Error,LP
ESSFwcp,DF,Interior Douglas-fir,Error,EF
ESSFwcw,DF,Interior Douglas-fir,Error,LP
ESSFwk,DF,Interior Douglas-fir,Error,LP
ESSFwv,DF,Interior Douglas-fir,Error,LP
ESSFxv,DF,Interior Douglas-fir,Error,LP
ICHmm,DF,Interior Douglas-fir,Allowed,
ICHvk,DF,Interior Douglas-fir,Allowed,
ICHwk,DF,Interior Douglas-fir,Allowed,
IMAun,DF,Interior Douglas-fir,Error,AT
MSxv,DF,Interior Douglas-fir,Allowed,
SBPSdc,DF,Interior Douglas-fir,Allowed,
SBPSmc,DF,Interior Douglas-fir,Allowed,
SBPSmk,DF,Interior Douglas-fir,Allowed,
SBSdh,DF,Interior Douglas-fir,Allowed,
SBSdk,DF,Interior Douglas-fir,Allowed,
SBSdw,DF,Interior Douglas-fir,Allowed,
SBSmc,DF,Interior Douglas-fir,Allowed,
SBSmh,DF,Interior Douglas-fir,Allowed,
SBSmk,DF,Interior Douglas-fir,Allowed,
SBSmw,DF,Interior Douglas-fir,Allowed,
SBSvk,DF,Interior Douglas-fir,Allowed,
SBSwk,DF,Interior Douglas-fir,Allowed,
SWBmk,DF,Interior Douglas-fir,Error,SA
SWBmks,DF,Interior Douglas-fir,Error,SA
ESSFmc,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFmm,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFmv,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFvc,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFwc,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFwcw,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFwk,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFwv,DL,Douglas-fir - Lodgepole Pine,Error,LP
ESSFxv,DL,Douglas-fir - Lodgepole Pine,Error,LP
ICHmm,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBPSdc,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBPSmc,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBPSmk,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSdh,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSdk,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSdw,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSmc,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSmh,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSmk,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSmw,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSvk,DL,Douglas-fir - Lodgepole Pine,Allowed,
SBSwk,DL,Douglas-fir - Lodgepole Pine,Allowed,
BAFAun,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,AT
BAFAunp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,AT
BWBSdk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
BWBSmk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
BWBSmw,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
BWBSwk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
CWHws,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,HL
ESSFmc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmcp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmkp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,WP
ESSFmm,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmmp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmv,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFmvp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFun,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFvc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwcp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwcw,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwv,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFwvp,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ESSFxv,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Allowed,
ICHmc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,CS
ICHmm,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,SF
ICHvk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,SF
ICHwk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,SF
IMAun,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,AT
MHmm,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,MF
MSxv,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,SL
SBPSdc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBPSmc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBPSmk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSdh,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSdk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSdw,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSmc,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSmh,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSmk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSmw,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSvk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SBSwk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,DF
SWBmk,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
SWBmks,EF,Engelmann Spruce - Subalpine Fir Dry Forested,Error,FB
BWBSdk,ER,Engelmann Spruce Riparian,Error,PR
BWBSmk,ER,Engelmann Spruce Riparian,Error,PR
BWBSmw,ER,Engelmann Spruce Riparian,Error,PR
BWBSwk,ER,Engelmann Spruce Riparian,Error,PR
ESSFmc,ER,Engelmann Spruce Riparian,Allowed,
ESSFmcp,ER,Engelmann Spruce Riparian,Allowed,
ESSFmk,ER,Engelmann Spruce Riparian,Allowed,
ESSFmm,ER,Engelmann Spruce Riparian,Allowed,
ESSFmmp,ER,Engelmann Spruce Riparian,Allowed,
ESSFmv,ER,Engelmann Spruce Riparian,Allowed,
ESSFmvp,ER,Engelmann Spruce Riparian,Allowed,
ESSFvc,ER,Engelmann Spruce Riparian,Allowed,
ESSFwc,ER,Engelmann Spruce Riparian,Allowed,
ESSFwcp,ER,Engelmann Spruce Riparian,Allowed,
ESSFwcw,ER,Engelmann Spruce Riparian,Allowed,
ESSFwk,ER,Engelmann Spruce Riparian,Allowed,
ESSFwv,ER,Engelmann Spruce Riparian,Allowed,
ESSFxv,ER,Engelmann Spruce Riparian,Allowed,
ICHmm,ER,Engelmann Spruce Riparian,Error,WR
SBPSdc,ER,Engelmann Spruce Riparian,Error,WR
SBPSmc,ER,Engelmann Spruce Riparian,Error,WR
SBPSmk,ER,Engelmann Spruce Riparian,Error,WR
SBSdh,ER,Engelmann Spruce Riparian,Error,WR
SBSdk,ER,Engelmann Spruce Riparian,Error,WR
SBSdw,ER,Engelmann Spruce Riparian,Error,WR
SBSmc,ER,Engelmann Spruce Riparian,Error,WR
SBSmh,ER,Engelmann Spruce Riparian,Error,WR
SBSmk,ER,Engelmann Spruce Riparian,Error,WR
SBSmw,ER,Engelmann Spruce Riparian,Error,WR
SBSvk,ER,Engelmann Spruce Riparian,Error,WR
SBSwk,ER,Engelmann Spruce Riparian,Error,WR
SWBmk,ER,Engelmann Spruce Riparian,Error,PR
SWBmks,ER,Engelmann Spruce Riparian,Error,PR
ESSFmkp,ER,Engelmann Spruce Riparian,Allowed,
ESSFun,ER,Engelmann Spruce Riparian,Allowed,
ESSFwvp,ER,Engelmann Spruce Riparian,Allowed,
CWHvm,ES,Estuary,Allowed,
CWHwm,ES,Estuary,Allowed,
BAFAun,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,AT
BAFAunp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,AT
CWHws,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,HL
ESSFmc,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFmcp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,FB
ESSFmk,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFmkp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,WP
ESSFmm,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFmmp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFmv,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFun,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,FB
ESSFunp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,FB
ESSFvc,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Allowed,
ESSFwc,EW,Subalpine Fir - Mountain Hemlock Wet Forested,Allowed,
ESSFwcw,EW,Subalpine Fir - Mountain Hemlock Wet Forested,Allowed,
ESSFwk,EW,Subalpine Fir - Mountain Hemlock Wet Forested,Allowed,
ESSFwv,EW,Subalpine Fir - Mountain Hemlock Wet Forested,Allowed,
ESSFwvp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,FB
ESSFxv,EW,Subalpine Fir - Mountain Hemlock Wet Forested,Allowed,
ICHmc,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SF
ICHvc,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SF
MHmm,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,MF
MHmmp,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,HP
SBSdh,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSdk,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSdw,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSmc,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSmh,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSmk,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSmw,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSun,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSvk,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
SBSwk,EW,Engelmann Spruce - Subalpine Fir Wet Forested,Error,SL
BAFAun,FB,Subalpine Fir - Scrub Birch Forested,Error,AT
BAFAunp,FB,Subalpine Fir - Scrub Birch Forested,Error,AT
BWBSdk,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
BWBSmk,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
BWBSmw,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
BWBSwk,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
CWHws,FB,Subalpine Fir - Scrub Birch Forested,Error,FR
ESSFmc,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFmcp,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
ESSFmk,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
ESSFmkp,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFmm,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFmmp,FB,Subalpine Fir - Scrub Birch Forested,Error,
ESSFmv,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFmvp,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
ESSFun,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
ESSFunp,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFvc,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFwc,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFwcp,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
ESSFwcw,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFwk,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFwv,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ESSFwvp,FB,Subalpine Fir - Scrub Birch Forested,Error,
ESSFxv,FB,Subalpine Fir - Scrub Birch Forested,Error,WP
ICHmc,FB,Subalpine Fir - Scrub Birch Forested,Error,CS
SBSdh,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSdk,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSdw,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSmc,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSmh,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSmk,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSmw,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSvk,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SBSwk,FB,Subalpine Fir - Scrub Birch Forested,Error,SF
SWBmk,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
SWBmks,FB,Subalpine Fir - Scrub Birch Forested,Allowed,
BAFAun,FE,Sedge Fen,Allowed,
BAFAunp,FE,Sedge Fen,Allowed,
BWBSdk,FE,Sedge fen,Allowed,
BWBSmk,FE,Sedge fen,Allowed,
BWBSmw,FE,Sedge fen,Allowed,
BWBSwk,FE,Sedge fen,Allowed,
ESSFmc,FE,Sedge fen,Allowed,
ESSFmcp,FE,Sedge Fen,Allowed,
ESSFmm,FE,Sedge fen,Allowed,
ESSFmmp,FE,Sedge Fen,Allowed,
ESSFmv,FE,Sedge fen,Allowed,
ESSFmvp,FE,Sedge Fen,Allowed,
ESSFvc,FE,Sedge fen,Allowed,
ESSFwc,FE,Sedge fen,Allowed,
ESSFwcp,FE,Sedge Fen,Allowed,
ESSFwcw,FE,Sedge fen,Allowed,
ESSFwk,FE,Sedge fen,Allowed,
ESSFwv,FE,Sedge fen,Allowed,
ESSFwvp,FE,Sedge Fen,Allowed,
ESSFxv,FE,Sedge fen,Allowed,
SBPSdc,FE,Sedge fen,Allowed,
SBPSmc,FE,Sedge fen,Allowed,
SBPSmk,FE,Sedge fen,Allowed,
SBSdh,FE,Sedge fen,Allowed,
SBSdk,FE,Sedge fen,Allowed,
SBSdw,FE,Sedge fen,Allowed,
SBSmc,FE,Sedge fen,Allowed,
SBSmh,FE,Sedge fen,Allowed,
SBSmk,FE,Sedge fen,Allowed,
SBSmw,FE,Sedge fen,Allowed,
SBSvk,FE,Sedge fen,Allowed,
SBSwk,FE,Sedge fen,Allowed,
SWBmk,FE,Sedge Fen,Allowed,
SWBmks,FE,Sedge Fen,Allowed,
BAFAun,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
BAFAunp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
BWBSdk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
BWBSmk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
BWBSmw,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
BWBSwk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
ESSFmc,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmcp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmm,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmmp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmv,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFmvp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFvc,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwc,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwcp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwcw,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwv,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFwvp,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ESSFxv,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
ICHmm,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
ICHvk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
ICHwk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
IMAun,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Allowed,
SBSdh,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSdk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSdw,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSmc,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSmh,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSmk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSmw,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSvk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SBSwk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,SF
SWBmk,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
SWBmks,FP,Engelmann Spruce - Subalpine Fir Dry Parkland,Error,FB
CMAun,FR,Amabilis Fir - Western Hemlock ,Error,HP
CMAunp,FR,Amabilis Fir - Western Hemlock ,Error,HP
CWHvh,FR,Amabilis Fir - Western Hemlock ,Allowed,
CWHvm,FR,Amabilis Fir - Western Hemlock ,Allowed,
CWHwm,FR,Amabilis Fir - Western Hemlock ,Allowed,
CWHws,FR,Amabilis Fir - Western Hemlock ,Allowed,
ESSFmc,FR,Amabilis Fir - Western Hemlock ,Error,EF
